Code,Description
TRBGSL001,Transport - Bus - Gasoline - Base efficiency
TRBGSL005,Transport - Bus - Gasoline - Improved efficiency
TRBGSL010,Transport - Bus - Gasoline - High efficiency
TRCDSL001,Transport - Passenger car - Diesel - Base efficiency
TRCDSL005,Transport - Passenger car - Diesel - Improved efficiency
TRCDSL010,Transport - Passenger car - Diesel - High efficiency
TRCELC001,Transport - Passenger car - Electricity - Base efficiency
TRCGSL001,Transport - Passenger car - Gasoline - Base efficiency
TRCGSL005,Transport - Passenger car - Gasoline - Improved efficiency
TRCGSL010,Transport - Passenger car - Gasoline - High efficiency
TRHDSL001,Transport - Heavy goods vehicle - Diesel - Base efficiency
TRHDSL005,Transport - Heavy goods vehicle - Diesel - Improved efficiency
TRHDSL010,Transport - Heavy goods vehicle - Diesel - High efficiency
TRHGSL001,Transport - Heavy goods vehicle - Gasoline - Base efficiency
TRHGSL005,Transport - Heavy goods vehicle - Gasoline - Improved efficiency
TRHGSL010,Transport - Heavy goods vehicle - Gasoline - High efficiency
TRLDSL001,Transport - Light commerical vehicle - Diesel - Base efficiency
TRLDSL005,Transport - Light commerical vehicle - Diesel - Improved efficiency
TRLDSL010,Transport - Light commerical vehicle - Diesel - High efficiency
TRLELC005,Transport - Light commercial vehicle - Electricity - Base efficiency
TRLGSL001,Transport - Light commerical vehicle - Gasoline - Base efficiency
TRLGSL005,Transport - Light commerical vehicle - Gasoline - Improved efficiency
TRLGSL010,Transport - Light commerical vehicle - Gasoline - High efficiency
TRMDSL001,Transport - Motorbike/two-wheeler - Diesel - Base efficiency
TRMDSL005,Transport - Motorbike/two-wheeler - Diesel - Improved efficiency
TRMDSL010,Transport - Motorbike/two-wheeler - Diesel - High efficiency
TRMELC001,Transport - Motorbike/two-wheeler - Electricity - Base efficiency
TRMGSL001,Transport - Motorbike/two-wheeler - Gasoline - Base efficiency
TRMGSL005,Transport - Motorbike/two-wheeler - Gasoline - Improved efficiency
TRMGSL010,Transport - Motorbike/two-wheeler - Gasoline - High efficiency
TTRDSL001,Transport - Trains (Rail) - Diesel - Base efficiency
TTRELC001,Transport - Trains (Rail) - Electricity - Base efficiency
TWDHFO001,Transport - Shipping - Heavy shipping oil - Base efficiency
UPSCHC,Upstream charcoal production
UPSETH,Upstream ethanol production
